Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,AAVE  Chatbot,,,,Original Chatbot,,,
,,,,,,,,,,,,
,,,,,Click to open spoken conversation,,,,Click to open spoken conversation,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,"In the conversation linked above, the Chatbot is acting as a Social Companion. ",,,,,,,,,
,,,"Considering how the Chatbot speaks in the AAVE Version (left), indicate your opinion of the following statements:",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Strongly Disagree,Slightly Disagree,Neutral,Slightly Agree,Strongly Agree
,,I find this chatbot to be trustworthy,,,,,,False,False,False,True,False
,,I find this chatbot to be caring and empathetic,,,,,,False,False,False,False,True
,,I find this chatbot to be offensive,,,,,,True,False,False,False,False
,,I feel like this chatbot would understand me well,,,,,,False,False,False,True,False
,,I would feel comfortable talking to this chatbot,,,,,,False,False,False,True,False
,,I feel that this chatbot is similar to me,,,,,,False,False,False,False,True
,,I would like a Social Companion chatbot to speak to me like this,,,,,,False,False,False,True,False
,,This chatbot has a similar voice to a middle-aged African American woman,,,,,,False,False,False,False,True
,,I would prefer talking to the AAVE Chatbot instead of the Original Chatbot,,,,,,False,False,False,False,True
,,This chatbot sounds like a middle-aged African American woman speaking AAVE,,,,,,True,False,False,False,False
,,,,,,,,Never,Rarely,Sometimes,Often,Always
,,This chatbot tries to speak in African American Vernacular English,,,,,,True,False,False,False,False
,,This chatbot sounds natural and human-like.,,,,,,False,False,False,False,True
,,This chatbot speaks in a clear and understandable manner.,,,,,,False,False,False,True,False
,,,,,,,,,,,,
,,"If you had to pick, what real-world human ethnicity does the chatbot’s voice sound ",,,,,,"African American				
				",,,,
,,"the most similar to? (e.g. White, African American, Hispanic, Asian, etc.)",,,,,,,,,,
,,,,,,,,,,,,
,,[Optional] Comments,,,,,,,,,,
